id,Gender,Age,Travel Category,Travel Class,Distance Travelled,Departure/Arrival Rating,Booking Ease,Boarding Point,Food,Seat Comfort,Entertainment,Leg Room,Luggage Handling,Cleanliness,Departure Delay (min),Arrival Delay (min),Satisfaction
85494,Female,16,Personal Travel,Economy,299,5,2,1,3,,3,4,5,3,40,52,dissatisfied
72989,Male,19,Official,Business,2149,5,5,5,4,4,4,5,1,4,0,0,satisfied
42357,Female,29,Personal Travel,Economy,673,,2,2,5,1,5,2,4,5,0,0,dissatisfied
23040,Female,27,Official,,972,3,3,3,3,3,3,1,3,3,0,0,dissatisfied
65420,Male,22,Official,Business,208,0,5,4,5,5,5,4,4,5,0,0,satisfied
65045,Female,15,Personal Travel,Economy,496,4,3,3,,4,4,1,4,4,3,0,dissatisfied
37373,Male,11,Official,Economy,875,1,,3,1,1,1,3,4,1,0,0,dissatisfied
44405,Female,34,Personal Travel,Economy,239,3,4,3,5,5,5,5,2,5,0,23,dissatisfied
16653,Female,26,Official,Economy,439,0,2,,1,1,1,2,5,1,0,0,dissatisfied
71655,Female,26,Personal Travel,Economy,1030,5,2,2,4,4,4,4,,4,0,0,dissatisfied
77591,Male,53,Official,Business,0,5,,5,5,5,4,5,4,3,0,3,satisfied
4585,Male,36,Official,Business,2722,2,2,,1,4,,4,4,1,30,13,dissatisfied
108347,Male,32,Official,Business,1575,5,4,5,1,1,1,1,2,1,0,0,dissatisfied
23400,Male,20,Personal Travel,Economy,435,3,2,3,5,5,,,3,5,91,82,dissatisfied
31010,Female,35,Official,Business,1915,2,2,2,1,1,4,4,4,4,0,0,satisfied
57513,Male,15,Personal Travel,Economy,212,4,2,1,1,1,1,,4,1,1,10,dissatisfied
20979,Male,52,Personal Travel,Economy,620,5,2,3,3,3,3,1,2,3,0,0,dissatisfied
95841,Male,45,Official,Business,1667,1,1,1,5,4,2,2,2,5,0,0,satisfied
114684,Female,24,Official,Economy,335,4,4,3,,5,3,4,4,3,21,23,dissatisfied
111667,Female,46,Official,Business,3335,3,,3,4,4,4,4,4,4,4,0,dissatisfied
20101,Male,26,Official,Economy,374,,3,,1,1,1,5,2,1,0,9,dissatisfied
63212,Male,28,Official,Economy,303,1,1,1,4,4,4,3,2,4,3,0,dissatisfied
8256,Male,11,Personal Travel,Economy,302,5,1,3,,3,3,2,,3,0,0,dissatisfied
56161,Male,45,Official,Business,1260,5,5,5,2,5,,4,4,5,4,9,satisfied
121196,Male,62,Personal Travel,Economy,2269,5,4,3,4,,5,5,4,1,7,30,dissatisfied
23788,Female,34,Official,Business,337,3,3,3,4,1,4,4,,3,0,0,satisfied
129579,Male,51,Official,Business,277,2,2,,4,5,4,4,4,5,17,8,satisfied
127516,Female,58,Official,Premium,518,4,4,,2,4,,1,2,4,14,16,dissatisfied
18012,Male,22,Personal Travel,Economy,556,5,3,,3,3,3,5,4,3,0,0,dissatisfied
45561,Male,8,Official,Economy,1174,4,,4,4,4,4,2,4,4,0,0,satisfied
5228,Male,26,Official,Business,316,4,4,3,,2,2,5,4,2,4,11,satisfied
18311,Female,22,Personal Travel,Economy,494,0,4,3,3,1,3,2,5,3,15,3,dissatisfied
59891,Female,21,Official,Business,3159,1,1,1,,3,3,3,3,3,0,0,dissatisfied
60651,Male,31,Official,Business,1458,2,4,2,3,,3,2,2,3,0,0,dissatisfied
51013,Female,44,Personal Travel,Economy,293,0,,2,2,5,1,2,1,5,0,0,dissatisfied
91746,Male,27,Official,Business,529,2,2,2,5,5,5,2,5,5,0,0,satisfied
4233,Female,47,Official,Business,918,1,3,3,2,5,5,5,5,5,0,0,satisfied
14187,Male,24,Official,Business,2613,3,3,3,,3,3,2,2,3,0,0,dissatisfied
19669,Male,67,Official,Business,2393,1,1,1,1,3,1,1,1,1,0,0,dissatisfied
31147,Male,32,Official,Business,2733,2,2,2,4,4,4,1,1,4,0,0,satisfied
128842,Female,58,Personal Travel,Economy,2228,4,,3,4,1,3,3,4,1,29,10,satisfied
27562,Male,12,Personal Travel,Economy,880,,4,5,1,1,1,4,4,1,0,0,dissatisfied
775,Female,56,Official,Business,2311,1,1,1,,2,3,3,3,4,0,0,dissatisfied
14070,Female,58,Personal Travel,Business,334,5,5,1,2,5,1,5,1,3,0,0,dissatisfied
106007,Male,24,Official,Economy,712,3,3,3,5,5,5,1,3,5,39,6,dissatisfied
116004,Male,68,Personal Travel,,432,,3,3,5,5,5,4,3,5,7,6,dissatisfied
68886,Male,46,Official,Business,1607,1,1,1,3,5,5,5,5,3,1,7,satisfied
72413,Male,43,Official,Business,0,,2,2,2,4,3,,3,4,0,7,satisfied
73604,Female,55,Official,Business,3271,4,,4,4,5,,1,1,3,0,0,satisfied
48415,Female,54,Personal Travel,Business,760,,5,2,2,4,3,5,3,4,0,0,dissatisfied
105708,Female,42,Official,Business,2785,5,5,5,4,5,2,2,2,3,0,10,satisfied
65579,Female,47,Official,Business,3119,3,3,3,3,4,1,1,1,4,13,15,dissatisfied
73058,Female,29,Official,,932,,1,1,,5,5,4,,5,0,0,dissatisfied
65585,Female,36,Official,Economy,213,4,4,4,2,2,2,4,2,2,0,0,dissatisfied
8346,Female,50,Official,Business,2858,4,4,,2,5,5,5,5,3,0,0,satisfied
79678,Female,31,Personal Travel,Economy,684,2,4,4,,1,1,4,4,1,17,27,dissatisfied
112483,Male,13,Personal Travel,Economy,768,4,1,4,4,4,,2,5,4,105,122,dissatisfied
31698,Male,24,Official,Economy,0,4,4,4,5,5,5,4,4,5,0,0,dissatisfied
74030,Female,60,Official,Business,964,2,2,2,4,1,3,4,3,1,0,0,satisfied
124931,Female,42,Personal Travel,Economy,655,3,2,,5,4,3,2,,2,0,3,dissatisfied
73924,Female,57,Official,Business,2327,,2,2,4,,4,5,4,4,0,0,satisfied
76073,Female,42,Official,Business,636,,4,2,2,4,3,4,3,3,27,11,satisfied
104623,Male,20,Official,Economy,775,0,0,5,2,2,2,3,5,2,0,0,satisfied
58523,Female,51,Personal Travel,Economy,647,5,2,4,3,4,4,2,4,3,19,0,dissatisfied
121929,Male,45,Official,Business,1611,5,2,2,2,5,5,5,5,4,0,0,satisfied
30704,Female,26,Official,Premium,612,5,5,5,5,5,5,4,5,5,12,27,satisfied
58896,Male,26,Official,Economy,799,2,2,3,5,5,5,3,3,5,51,30,dissatisfied
26920,Female,24,Personal Travel,Economy,1494,1,2,3,3,5,3,4,,3,0,2,dissatisfied
13884,Male,49,Official,Economy,520,1,1,1,5,,1,1,4,5,162,179,satisfied
87681,Female,17,Official,,0,1,,,5,4,5,1,2,5,15,15,satisfied
81719,Female,39,Official,Business,0,3,3,3,,5,4,4,4,3,7,0,satisfied
85554,Female,49,Official,Business,285,1,1,1,3,5,4,4,,5,0,0,satisfied
12645,Female,48,Personal Travel,Economy,760,4,4,3,4,4,4,4,4,3,0,1,dissatisfied
101275,Male,52,Official,Business,3372,,5,5,2,5,4,4,4,5,24,20,satisfied
95982,Female,25,Official,Business,2473,,4,4,3,,3,2,4,3,0,0,satisfied
74610,Female,16,Official,Business,1353,5,5,,3,3,3,4,3,3,0,0,dissatisfied
76449,Male,58,Official,Business,1545,1,1,1,2,5,4,4,4,4,0,0,satisfied
14030,Male,8,Official,,1005,3,4,3,,3,3,5,4,3,0,7,dissatisfied
69692,Male,42,Official,Business,0,3,5,3,4,4,5,5,4,4,141,125,satisfied
47648,Female,52,Official,Business,2491,1,,1,2,4,4,,4,4,0,0,dissatisfied
52168,Female,47,Official,Economy,333,3,3,,2,1,5,5,,4,0,0,satisfied
60251,Female,69,Personal Travel,Economy,0,5,1,2,4,4,1,,1,3,1,26,dissatisfied
35881,Female,47,Personal Travel,Economy,0,3,3,3,5,,4,3,1,4,0,0,dissatisfied
28852,Female,41,Official,Business,3272,1,1,1,3,4,4,4,,2,0,0,satisfied
55341,Female,40,Personal Travel,Economy,1193,4,4,3,1,1,1,2,4,1,0,9,dissatisfied
84553,Female,56,Personal Travel,,2300,4,,3,3,1,5,1,5,2,0,0,dissatisfied
100249,Male,41,Official,Business,947,,2,2,4,4,4,4,4,4,6,0,satisfied
2463,Female,40,Official,Economy,696,4,4,4,3,3,3,5,4,3,15,26,dissatisfied
22924,Male,12,Personal Travel,Business,735,3,2,2,1,,1,,5,1,0,0,dissatisfied
25542,Male,59,Personal Travel,Economy,464,5,3,4,1,1,1,3,4,1,3,0,satisfied
115972,Female,21,Personal Travel,Economy,402,5,1,1,2,2,2,5,5,2,34,19,dissatisfied
2980,Male,12,Personal Travel,Economy,416,4,2,3,2,,,4,2,2,0,0,dissatisfied
125097,Male,31,Official,Economy,325,5,5,,,1,1,5,3,1,0,0,dissatisfied
46701,Female,37,Personal Travel,Economy,113,2,3,3,2,2,2,3,3,2,6,4,dissatisfied
108006,Female,38,Personal Travel,Economy,244,0,5,3,2,2,2,2,4,2,0,0,satisfied
19578,Male,45,Personal Travel,Economy,156,5,0,1,2,5,2,5,4,2,0,0,dissatisfied
59508,Male,43,Official,Business,1755,3,3,3,4,4,4,4,4,5,0,0,satisfied
56446,Female,52,Personal Travel,Economy,647,5,2,2,3,5,3,2,3,3,0,17,dissatisfied
48800,Female,57,Official,Business,138,4,4,4,5,4,2,2,3,2,0,0,dissatisfied
129592,Female,13,Personal Travel,Business,303,3,,3,1,1,1,5,2,1,0,18,dissatisfied
114039,Female,45,Official,Business,3359,5,5,5,5,5,5,,5,4,17,0,satisfied
66800,Female,43,Official,Business,3469,5,5,5,5,4,5,5,5,3,0,0,satisfied
106799,Male,53,Official,Economy,0,4,2,4,2,2,2,2,3,2,20,17,dissatisfied
47057,Male,23,Official,Business,0,4,1,4,5,5,5,3,1,5,0,3,satisfied
61824,Female,16,Personal Travel,Economy,1241,5,2,2,2,2,2,2,4,2,2,0,dissatisfied
68207,Male,23,Official,Economy,568,2,2,2,,1,2,5,4,2,0,8,dissatisfied
125512,Male,45,Personal Travel,Economy,0,5,2,4,,4,4,5,5,4,0,0,dissatisfied
93019,Female,46,Official,Business,2538,2,2,2,2,2,5,5,5,3,1,0,satisfied
87296,Female,49,Personal Travel,Economy,519,5,2,2,3,5,,2,1,3,23,2,dissatisfied
76748,Female,40,Official,Business,0,3,3,3,,,3,3,4,3,7,2,dissatisfied
85879,Female,19,Official,,1955,5,5,,4,4,4,4,4,4,0,0,satisfied
63961,Female,48,Personal Travel,Economy,1073,2,4,3,4,3,1,,2,1,0,0,dissatisfied
94760,Female,64,Official,Business,1596,4,3,4,5,3,2,3,2,4,0,0,dissatisfied
49608,Female,38,Official,Economy,98,3,3,3,,5,5,2,4,5,31,,satisfied
80520,Male,23,Personal Travel,Economy,1574,1,1,4,,3,3,,4,3,97,89,dissatisfied
23328,Female,38,Official,Business,3378,,2,2,1,,4,4,,1,0,0,satisfied
13560,Male,41,Personal Travel,Economy,193,4,1,2,2,1,2,3,5,2,16,34,dissatisfied
119121,Male,29,Personal Travel,Economy,918,4,1,4,1,1,1,3,3,1,0,0,dissatisfied
42917,Male,47,Official,Premium,331,1,2,1,4,4,,,2,4,0,0,satisfied
52954,Male,50,Personal Travel,Premium,1303,3,2,5,4,,4,3,4,4,20,4,dissatisfied
83112,Female,18,Personal Travel,Economy,1014,5,,,,3,3,4,4,3,0,0,dissatisfied
88574,Female,20,Personal Travel,Economy,491,0,2,3,5,1,5,4,3,5,4,0,dissatisfied
111570,Female,41,Official,Business,0,2,2,2,5,,4,4,4,4,0,0,satisfied
28662,Female,12,Personal Travel,Economy,0,4,2,3,1,1,1,4,5,1,0,0,dissatisfied
27177,Female,36,Personal Travel,Economy,2444,3,2,3,2,2,4,3,3,2,0,0,dissatisfied
129585,Male,49,Official,Business,303,4,3,,4,5,4,4,4,3,10,0,satisfied
35759,Female,55,Personal Travel,Economy,0,2,2,4,,4,5,2,5,2,0,0,dissatisfied
49475,Female,43,Official,Business,2704,3,3,3,,3,2,2,3,2,0,0,dissatisfied
78904,Female,49,Official,Business,882,2,,,3,3,3,5,5,3,11,6,dissatisfied
29619,Female,35,Official,Economy,1316,1,1,1,3,3,3,5,1,3,0,0,dissatisfied
77512,Male,45,Official,Business,1369,1,3,,,4,5,5,5,4,0,0,satisfied
31631,Female,28,Official,Business,776,5,5,5,5,5,5,3,1,5,9,5,satisfied
38913,Male,60,Official,,0,4,4,4,1,5,4,4,4,2,0,0,satisfied
35366,Male,35,Official,Business,0,4,2,4,1,2,2,2,2,3,0,9,dissatisfied
111817,Female,38,Official,,314,3,,5,4,4,4,,4,4,29,28,dissatisfied
12259,Male,48,Official,Business,1550,5,4,4,4,3,4,4,4,1,0,0,satisfied
19790,Female,65,Personal Travel,Economy,520,4,3,4,2,4,3,3,3,3,99,101,dissatisfied
33260,Male,30,Personal Travel,Premium,147,5,3,2,1,,1,,4,1,9,11,dissatisfied
107079,Female,51,Personal Travel,Economy,356,,5,1,,5,3,5,,1,0,0,dissatisfied
15174,Male,23,Official,Economy,0,0,,2,4,4,4,5,5,4,18,4,satisfied
23620,Female,37,Official,Economy,879,4,4,4,3,3,3,2,3,3,0,0,dissatisfied
18128,Male,23,Official,Business,2786,5,5,5,5,3,5,5,4,5,9,0,satisfied
105291,Male,32,Official,Business,664,4,4,4,4,4,4,2,4,4,0,3,dissatisfied
56451,Male,67,Personal Travel,Economy,647,3,3,4,1,1,1,2,3,1,24,14,dissatisfied
102068,Male,65,Personal Travel,Business,203,,,1,5,,4,,4,3,37,20,dissatisfied
57995,Female,48,Official,Business,1749,1,1,1,3,5,5,5,5,5,0,0,satisfied
146,Male,60,Official,Business,2134,4,4,4,2,5,4,4,,3,66,61,satisfied
18770,Female,31,Official,Business,496,,1,1,3,3,3,4,3,3,53,48,dissatisfied
42774,Male,22,Official,Premium,444,,,5,4,4,4,,2,4,19,6,satisfied
13776,Male,27,Official,Economy,833,2,2,5,5,5,5,5,5,5,4,3,dissatisfied
103702,Female,19,Personal Travel,Economy,365,2,2,4,1,1,1,2,4,1,0,0,dissatisfied
69826,Female,26,Official,Economy,950,,3,4,4,4,4,5,4,4,0,0,dissatisfied
57906,Male,72,Official,,275,3,3,3,4,,4,,3,4,0,0,dissatisfied
31358,Female,34,Official,,530,5,5,5,1,5,5,5,5,5,0,11,satisfied
92805,Female,45,Official,Business,1428,2,2,2,4,4,4,4,4,3,0,0,satisfied
104375,Male,51,Official,Business,0,4,4,4,3,4,2,2,2,1,0,0,dissatisfied
109896,Female,26,Official,Economy,724,2,2,3,,3,4,4,4,4,7,0,dissatisfied
102955,Female,12,Personal Travel,Economy,647,4,,3,1,1,1,2,4,1,0,0,dissatisfied
44736,Female,72,Official,Premium,60,5,3,5,2,4,3,,3,3,28,18,dissatisfied
28135,Male,45,Official,Economy,495,2,4,4,4,4,4,4,3,4,0,0,satisfied
55871,Female,22,Official,Business,2528,,2,2,5,5,5,,4,5,36,28,satisfied
8818,Female,53,Personal Travel,Economy,497,4,4,1,4,4,5,4,5,5,0,0,dissatisfied
86148,Female,33,Official,Business,320,3,3,4,4,4,4,5,5,4,12,0,dissatisfied
120162,Female,46,Personal Travel,,107,0,4,1,,4,4,4,4,3,13,32,dissatisfied
117547,Male,54,Official,Business,1391,2,2,2,5,5,5,5,5,4,1,0,satisfied
112385,Female,40,Official,Economy,737,2,3,3,4,4,4,2,3,4,23,6,dissatisfied
19908,Female,37,Official,Business,1621,4,3,3,4,3,2,2,2,4,0,0,dissatisfied
45098,Female,35,Official,Business,1492,2,5,,1,1,5,5,3,3,6,6,satisfied
43810,Female,26,Official,Business,103,0,5,3,4,4,4,2,5,4,0,13,satisfied
22981,Female,62,Official,Economy,115,3,3,3,,1,5,4,5,1,0,16,satisfied
68134,Male,58,Official,Business,732,1,,1,5,5,3,3,3,3,0,0,satisfied
23518,Female,55,Personal Travel,Economy,314,3,2,,2,5,2,2,2,3,0,0,dissatisfied
109188,Female,60,Official,Business,0,,1,,2,2,3,3,3,2,15,15,dissatisfied
1150,Female,15,Personal Travel,Economy,80,5,3,4,5,1,5,5,4,5,0,0,dissatisfied
44586,Male,67,Personal Travel,Economy,141,,4,3,5,5,5,5,3,5,45,33,dissatisfied
84299,Male,43,Official,,2545,1,1,2,5,4,3,3,3,5,39,41,satisfied
103793,Male,30,Official,Business,2818,,1,1,5,5,5,5,4,5,7,0,satisfied
35032,Female,42,Official,Economy,646,1,4,1,3,3,5,5,5,1,0,0,satisfied
103291,Male,40,Official,Business,1763,3,3,3,4,4,4,,5,4,209,191,satisfied
93909,Male,47,Official,Business,3146,,2,2,2,5,5,5,5,4,0,2,satisfied
127925,Male,38,Official,Business,2070,2,2,2,4,3,4,4,4,2,60,37,dissatisfied
128097,Female,25,Personal Travel,Economy,0,,3,5,3,3,1,3,2,3,0,1,dissatisfied
26149,Male,26,Official,Economy,365,5,3,4,,3,5,,1,3,149,138,dissatisfied
95886,Male,66,Personal Travel,Economy,522,4,,3,4,4,4,3,5,4,26,13,dissatisfied
125425,Female,69,Official,Economy,662,4,,4,3,4,1,,1,2,12,4,dissatisfied
120078,Female,22,Official,Business,1550,,5,5,2,2,2,4,3,2,0,53,dissatisfied
60625,Male,8,Personal Travel,Premium,1081,5,2,,3,3,3,2,,3,24,14,dissatisfied
115031,Female,37,Official,,335,5,,4,4,4,4,4,5,4,11,0,satisfied
37077,Female,69,Personal Travel,Economy,965,5,1,5,4,4,1,1,1,4,18,7,dissatisfied
69252,Male,28,Official,Economy,660,2,2,2,4,,4,4,3,4,15,22,dissatisfied
12194,Male,51,Official,Premium,968,4,1,4,2,2,2,2,4,2,5,0,dissatisfied
80188,Female,46,Personal Travel,Economy,2327,1,3,3,3,4,2,4,3,4,59,57,dissatisfied
10430,Male,39,Official,Business,126,4,4,3,4,,4,4,,4,0,7,satisfied
21262,Female,21,Official,,0,,4,4,,1,1,5,3,1,35,28,dissatisfied
55236,Male,46,Official,Business,2181,4,4,,2,4,4,4,4,5,1,0,satisfied
126917,Female,36,Official,Business,2817,2,2,,5,5,5,5,5,3,62,65,satisfied
112190,Male,60,Official,Business,1978,3,3,3,3,4,4,4,4,3,23,4,satisfied
16342,Male,23,Official,,542,5,5,5,2,1,2,4,4,2,21,44,dissatisfied
2201,Male,52,Personal Travel,Economy,617,,4,5,4,4,,4,5,4,0,0,satisfied
53687,Male,36,Official,Economy,1087,5,5,5,4,4,4,1,2,4,3,0,satisfied
47168,Male,41,Official,Business,2510,,2,3,4,3,4,3,4,5,10,0,satisfied
8782,Male,45,Official,Business,0,,2,,3,5,4,4,4,3,8,0,satisfied
75468,Male,67,Personal Travel,Economy,2108,4,3,3,5,2,5,2,3,5,0,0,dissatisfied
